StudioTestName	ParticipantName	[Gender]Value	RecordingName	RecordingDate	RecordingDuration	MediaName	RecordingTimestamp	LocalTimeStamp	StudioEvent	FixationIndex	SaccadeIndex	GazeEventType	GazeEventDuration	FixationPointX (MCSpx)	FixationPointY (MCSpx)	AOI[Rectangle]Hit	AOI[Rectangle 2]Hit	GazePointIndex	GazePointLeftX (ADCSpx)	GazePointLeftY (ADCSpx)	GazePointRightX (ADCSpx)	GazePointRightY (ADCSpx)	GazePointX (ADCSpx)	GazePointY (ADCSpx)	PupilLeft	PupilRight	ValidityLeft	ValidityRight
Informative A	ANCAT132	F	ANCAT132	10/23/2012	303824		1600	52:28.3				Unclassified	2465					92									4	4
Informative A	ANCAT132	F	ANCAT132	10/23/2012	303824		1618	52:28.3				Unclassified	2465					93									4	4
Informative A	ANCAT132	F	ANCAT132	10/23/2012	303824		1635	52:28.3				Unclassified	2465					94									4	4
Informative A	ANCAT132	F	ANCAT132	10/23/2012	303824		1650	52:28.3				Unclassified	2465					95									4	4
Informative A	ANCAT132	F	ANCAT132	10/23/2012	303824		1666	52:28.3				Unclassified	2465					96									4	4
Informative A	ANCAT132	F	ANCAT132	10/23/2012	303824		1683	52:28.3				Unclassified	2465					97									4	4
Informative A	ANCAT132	F	ANCAT132	10/23/2012	303824		1700	52:28.4				Unclassified	2465					98									4	4
Informative A	ANCAT132	F	ANCAT132	10/23/2012	303824		1716	52:28.4				Unclassified	2465					99									4	4
Informative A	ANCAT132	F	ANCAT132	10/23/2012	303824		1733	52:28.4				Unclassified	2465					100									4	4
Informative A	ANCAT132	F	ANCAT132	10/23/2012	303824		1750	52:28.4				Unclassified	2465					101									4	4
Informative A	ANCAT132	F	ANCAT132	10/23/2012	303824		1768	52:28.4				Unclassified	2465					102									4	4
Informative A	ANCAT132	F	ANCAT132	10/23/2012	303824		1785	52:28.4				Unclassified	2465					103									4	4
Informative A	ANCAT132	F	ANCAT132	10/23/2012	303824		1800	52:28.5				Unclassified	2465					104									4	4
Informative A	ANCAT132	F	ANCAT132	10/23/2012	303824		1816	52:28.5				Unclassified	2465					105									4	4
Informative A	ANCAT132	F	ANCAT132	10/23/2012	303824		1833	52:28.5				Unclassified	2465					106									4	4
Informative A	ANCAT132	F	ANCAT132	10/23/2012	303824		1850	52:28.5				Unclassified	2465					107									4	4
Informative A	ANCAT132	F	ANCAT132	10/23/2012	303824		1866	52:28.5				Unclassified	2465					108									4	4
Informative A	ANCAT132	F	ANCAT132	10/23/2012	303824		1883	52:28.5				Unclassified	2465					109									4	4
Informative A	ANCAT132	F	ANCAT132	10/23/2012	303824		1900	52:28.6				Unclassified	2465					110									4	4
Informative A	ANCAT132	F	ANCAT132	10/23/2012	303824		1917	52:28.6				Unclassified	2465					111									4	4
Informative A	ANCAT132	F	ANCAT132	10/23/2012	303824		1935	52:28.6				Unclassified	2465					112									4	4
Informative A	ANCAT132	F	ANCAT132	10/23/2012	303824		1950	52:28.6				Unclassified	2465					113									4	4
Informative A	ANCAT132	F	ANCAT132	10/23/2012	303824		1966	52:28.6				Unclassified	2465					114									4	4
Informative A	ANCAT132	F	ANCAT132	10/23/2012	303824		1983	52:28.6				Unclassified	2465					115									4	4
Informative A	ANCAT132	F	ANCAT132	10/23/2012	303824		2000	52:28.7				Unclassified	2465					116									4	4
Informative A	ANCAT132	F	ANCAT132	10/23/2012	303824		2016	52:28.7				Unclassified	2465					117									4	4
Informative A	ANCAT132	F	ANCAT132	10/23/2012	303824		2033	52:28.7				Unclassified	2465					118									4	4
Informative A	ANCAT132	F	ANCAT132	10/23/2012	303824		2050	52:28.7				Unclassified	2465					119									4	4
Informative A	ANCAT132	F	ANCAT132	10/23/2012	303824	baby_xvid.avi	2064	52:28.7	MovieStart			Unclassified	2465															
Informative A	ANCAT132	F	ANCAT132	10/23/2012	303824	baby_xvid.avi	2067	52:28.7				Unclassified	2465					120									4	4
Informative A	ANCAT132	F	ANCAT132	10/23/2012	303824	baby_xvid.avi	2085	52:28.7				Unclassified	2465					121									4	4
Informative A	ANCAT132	F	ANCAT132	10/23/2012	303824	baby_xvid.avi	2099	52:28.8				Unclassified	2465					122									4	4
Informative A	ANCAT132	F	ANCAT132	10/23/2012	303824	baby_xvid.avi	2116	52:28.8				Unclassified	2465					123									4	4
Informative A	ANCAT132	F	ANCAT132	10/23/2012	303824	baby_xvid.avi	2133	52:28.8				Unclassified	2465					124									4	4
Informative A	ANCAT132	F	ANCAT132	10/23/2012	303824	baby_xvid.avi	2149	52:28.8				Unclassified	2465					125									4	4
Informative A	ANCAT132	F	ANCAT132	10/23/2012	303824	baby_xvid.avi	2166	52:28.8				Unclassified	2465					126									4	4
Informative A	ANCAT132	F	ANCAT132	10/23/2012	303824	baby_xvid.avi	2183	52:28.8				Unclassified	2465					127									4	4
Informative A	ANCAT132	F	ANCAT132	10/23/2012	303824	baby_xvid.avi	2200	52:28.9				Unclassified	2465					128									4	4
Informative A	ANCAT132	F	ANCAT132	10/23/2012	303824	baby_xvid.avi	2217	52:28.9				Unclassified	2465					129									4	4
Informative A	ANCAT132	F	ANCAT132	10/23/2012	303824	baby_xvid.avi	2235	52:28.9				Unclassified	2465					130									4	4
Informative A	ANCAT132	F	ANCAT132	10/23/2012	303824	baby_xvid.avi	2249	52:28.9				Unclassified	2465					131									4	4
Informative A	ANCAT132	F	ANCAT132	10/23/2012	303824	baby_xvid.avi	2266	52:28.9				Unclassified	2465					132									4	4
Informative A	ANCAT132	F	ANCAT132	10/23/2012	303824	baby_xvid.avi	2283	52:28.9				Unclassified	2465					133									4	4
Informative A	ANCAT132	F	ANCAT132	10/23/2012	303824	baby_xvid.avi	2299	52:29.0				Unclassified	2465					134									4	4
Informative A	ANCAT132	F	ANCAT132	10/23/2012	303824	baby_xvid.avi	2316	52:29.0				Unclassified	2465					135									4	4
Informative A	ANCAT132	F	ANCAT132	10/23/2012	303824	baby_xvid.avi	2332	52:29.0				Unclassified	2465					136									4	4
Informative A	ANCAT132	F	ANCAT132	10/23/2012	303824	baby_xvid.avi	2349	52:29.0				Unclassified	2465					137									4	4
Informative A	ANCAT132	F	ANCAT132	10/23/2012	303824	baby_xvid.avi	2366	52:29.0				Unclassified	2465					138									4	4
Informative A	ANCAT132	F	ANCAT132	10/23/2012	303824	baby_xvid.avi	2382	52:29.0				Unclassified	2465					139									4	4
Informative A	ANCAT132	F	ANCAT132	10/23/2012	303824	baby_xvid.avi	2399	52:29.1				Unclassified	2465					140									4	4
Informative A	ANCAT132	F	ANCAT132	10/23/2012	303824	baby_xvid.avi	2416	52:29.1				Unclassified	2465					141									4	4
Informative A	ANCAT132	F	ANCAT132	10/23/2012	303824	baby_xvid.avi	2432	52:29.1				Unclassified	2465					142									4	4
Informative A	ANCAT132	F	ANCAT132	10/23/2012	303824	baby_xvid.avi	2449	52:29.1				Unclassified	2465					143									4	4
Informative A	ANCAT132	F	ANCAT132	10/23/2012	303824	baby_xvid.avi	2466	52:29.1				Unclassified	2465					144									4	4
Informative A	ANCAT132	F	ANCAT132	10/23/2012	303824	baby_xvid.avi	2482	52:29.1				Unclassified	2465					145									4	4
Informative A	ANCAT132	F	ANCAT132	10/23/2012	303824	baby_xvid.avi	2499	52:29.2				Unclassified	2465					146									4	4
Informative A	ANCAT132	F	ANCAT132	10/23/2012	303824	baby_xvid.avi	2516	52:29.2				Unclassified	2465					147									4	4
Informative A	ANCAT132	F	ANCAT132	10/23/2012	303824	baby_xvid.avi	2532	52:29.2				Unclassified	2465					148									4	4
Informative A	ANCAT132	F	ANCAT132	10/23/2012	303824	baby_xvid.avi	2549	52:29.2				Unclassified	2465					149	918	488	597	378	757	433	2.96	2.9	0	0
Informative A	ANCAT132	F	ANCAT132	10/23/2012	303824	baby_xvid.avi	2566	52:29.2		1		Fixation	316	748	424			150	890	475	614	380	752	427	2.87	3.02	0	0
Informative A	ANCAT132	F	ANCAT132	10/23/2012	303824	baby_xvid.avi	2582	52:29.2		1		Fixation	316	748	424			151	904	468	607	380	755	424	2.94	2.99	0	0
Informative A	ANCAT132	F	ANCAT132	10/23/2012	303824	baby_xvid.avi	2599	52:29.3		1		Fixation	316	748	424			152	892	469	604	379	748	424	2.9	2.97	0	0
Informative A	ANCAT132	F	ANCAT132	10/23/2012	303824	baby_xvid.avi	2616	52:29.3		1		Fixation	316	748	424			153	896	469	607	385	751	427	2.9	3	0	0
Informative A	ANCAT132	F	ANCAT132	10/23/2012	303824	baby_xvid.avi	2632	52:29.3		1		Fixation	316	748	424			154	900	465	601	388	750	426	2.89	3	0	0
Informative A	ANCAT132	F	ANCAT132	10/23/2012	303824	baby_xvid.avi	2649	52:29.3		1		Fixation	316	748	424			155	893	466	602	372	747	419	2.92	3.05	0	0
Informative A	ANCAT132	F	ANCAT132	10/23/2012	303824	baby_xvid.avi	2666	52:29.3		1		Fixation	316	748	424			156	889	464	600	374	744	419	2.97	3.06	0	0
Informative A	ANCAT132	F	ANCAT132	10/23/2012	303824	baby_xvid.avi	2682	52:29.3		1		Fixation	316	748	424			157	901	467	602	373	751	420	2.97	3.11	0	0
Informative A	ANCAT132	F	ANCAT132	10/23/2012	303824	baby_xvid.avi	2699	52:29.4		1		Fixation	316	748	424			158	891	473	600	375	745	424	2.97	3.08	0	0
Informative A	ANCAT132	F	ANCAT132	10/23/2012	303824	baby_xvid.avi	2715	52:29.4		1		Fixation	316	748	424			159									4	4
Informative A	ANCAT132	F	ANCAT132	10/23/2012	303824	baby_xvid.avi	2732	52:29.4		1		Fixation	316	748	424			160									4	4
Informative A	ANCAT132	F	ANCAT132	10/23/2012	303824	baby_xvid.avi	2749	52:29.4		1		Fixation	316	748	424			161	840	433	618	353	729	393	3.34	3.38	0	0
Informative A	ANCAT132	F	ANCAT132	10/23/2012	303824	baby_xvid.avi	2765	52:29.4		1		Fixation	316	748	424			162	865	459	631	365	748	412	3.37	3.41	0	0
Informative A	ANCAT132	F	ANCAT132	10/23/2012	303824	baby_xvid.avi	2782	52:29.4		1		Fixation	316	748	424			163	871	475	616	355	743	415	3.35	3.5	0	0
Informative A	ANCAT132	F	ANCAT132	10/23/2012	303824	baby_xvid.avi	2799	52:29.5		1		Fixation	316	748	424			164	870	474	581	385	725	429	3.34	3.41	0	0
Informative A	ANCAT132	F	ANCAT132	10/23/2012	303824	baby_xvid.avi	2815	52:29.5		1		Fixation	316	748	424			165	855	462	619	371	737	416	3.29	3.5	0	0
Informative A	ANCAT132	F	ANCAT132	10/23/2012	303824	baby_xvid.avi	2832	52:29.5		1		Fixation	316	748	424			166	864	471	623	372	743	421	3.35	3.47	0	0
